DDCTransactionIdA009AE8EEA4ACB783202248DCB5328B8_8, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_G8_EFCCE016429008D9D6575CB3A2DF598A_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000000000000200000001000100000001000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2018.08.22-19.14.16, Duration=16.215359, RunGuid=RunID81D2250A624A619C61DE84BA00CA5B5E
DDCTransactionId982325FF7640703FFA10B9A9949DCC8E_26, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_G8_EFCCE016429008D9D6575CB3A2DF598A_0__8945277941692C5A22D79C1A7D9B477B8846D045, StartTime=2018.08.22-19.14.16, HierarchicalDDC=, DataSize=262402, Duration=0.102110, RunGuid=RunID81D2250A624A619C61DE84BA00CA5B5E
DDCTransactionId982325FF7640703FFA10B9A9949DCC8E_27, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_G8_EFCCE016429008D9D6575CB3A2DF598A_0__D2A687F2C18FB52AE2E1EEDB04C9C77170CD0FC3, StartTime=2018.08.22-19.14.16, HierarchicalDDC=, DataSize=65794, Duration=0.034131, RunGuid=RunID81D2250A624A619C61DE84BA00CA5B5E
DDCTransactionId982325FF7640703FFA10B9A9949DCC8E_28, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_G8_EFCCE016429008D9D6575CB3A2DF598A_0__6C2CA7981AAE3BB88E80EDB6A8D74338EC182B8A, StartTime=2018.08.22-19.14.16, HierarchicalDDC=, DataSize=16642, Duration=0.028681, RunGuid=RunID81D2250A624A619C61DE84BA00CA5B5E
DDCTransactionId982325FF7640703FFA10B9A9949DCC8E_29, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_G8_EFCCE016429008D9D6575CB3A2DF598A_0__F949E4B3D838BDCB34985AA09A06B8738A445AB5, StartTime=2018.08.22-19.14.16, HierarchicalDDC=, DataSize=6850, Duration=0.015218, RunGuid=RunID81D2250A624A619C61DE84BA00CA5B5E
CookerStat, GenerateAssetRegistry=0.023760, Initialize=0.180025, RunGuid=RunID81D2250A624A619C61DE84BA00CA5B5E
DDCTransactionIdA009AE8EEA4ACB783202248DCB5328B8_9, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_0826AF7846D396A549BF7799E7C45CF3_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000E000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2018.08.22-19.14.18, Duration=3.526304, RunGuid=RunID81D2250A624A619C61DE84BA00CA5B5E
DDCTransactionId982325FF7640703FFA10B9A9949DCC8E_30, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_0826AF7846D396A549BF7799E7C45__8ADA033149FC574A58919A3192C37EBB99415E75, StartTime=2018.08.22-19.14.18, HierarchicalDDC=, DataSize=65799, Duration=0.934947, RunGuid=RunID81D2250A624A619C61DE84BA00CA5B5E
DDCTransactionId982325FF7640703FFA10B9A9949DCC8E_31, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_0826AF7846D396A549BF7799E7C45__6A64E03EE1DB0A8876A1BA5420E6B4C294B61BC8, StartTime=2018.08.22-19.14.18, HierarchicalDDC=, DataSize=16647, Duration=0.062164, RunGuid=RunID81D2250A624A619C61DE84BA00CA5B5E
DDCTransactionId982325FF7640703FFA10B9A9949DCC8E_32, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_0826AF7846D396A549BF7799E7C45__A8C14F18E7E9A1A4263B5C5028300A2EDB52C0CC, StartTime=2018.08.22-19.14.18, HierarchicalDDC=, DataSize=6604, Duration=0.042878, RunGuid=RunID81D2250A624A619C61DE84BA00CA5B5E
